k,t,time ,approach
40,2,0.011685435,parallel
80,2,0.012285015,parallel
120,2,0.01272584,parallel
160,2,0.01349127,parallel
200,2,0.014003865,parallel
400,2,0.02645472,parallel
600,2,0.056734655,parallel
800,2,0.11538505,parallel
1000,2,0.2100647,parallel
1500,2,0.67186315,parallel
40,2,0,sequential
80,2,0,sequential
120,2,0,sequential
160,2,0,sequential
200,2,0,sequential
400,2,0.013,sequential
600,2,0.0395,sequential
800,2,0.07,sequential
1000,2,0.1095,sequential
1500,2,0.253,sequential
40,3,0.01262358,parallel
80,3,0.01842483,parallel
120,3,0.03944987,parallel
160,3,0.08857138,parallel
200,3,0.1900584,parallel
400,3,2.6396065,parallel
600,3,13.09355,parallel
800,3,41.034275,parallel
1000,3,99.62742,parallel
40,3,0.005,sequential
80,3,0.0695,sequential
120,3,0.25,sequential
160,3,0.6115,sequential
200,3,1.2065,sequential
400,3,9.7695,sequential
600,3,32.754,sequential
800,3,77.2665,sequential
1000,3,150.9995,sequential
40,4,0.03452455,parallel
80,4,0.3709713,parallel
120,4,2.054107,parallel
160,4,7.224263,parallel
200,4,19.45539,parallel
40,4,0.4075,sequential
80,4,6.795,sequential
120,4,35.7885,sequential
160,4,121.4025,sequential
200,4,303.212,sequential
40,5,0.9527762,parallel
80,5,34.28196,parallel
120,5,275.4288,parallel
40,5,12.092,sequential
80,5,422.3605,sequential
120,5,3427.903,sequential
