k,t,Qnum,Qlevel,time,size,approach,setup
20,2,0,0,1.146953,27.4,hybrid,1x32
20,2,26,3,1.0718018,27.8,hybrid,1x32
20,2,53,6,1.6343448,28.2,hybrid,1x32
20,2,80,9,2.140662,30.6,hybrid,1x32
80,2,0,0,3.048086,40.8,hybrid,1x32
80,2,53,3,2.932272,40.8,hybrid,1x32
80,2,107,6,3.688822,41.4,hybrid,1x32
80,2,160,9,3.825852,41.4,hybrid,1x32
140,2,0,0,4.54134,46.4,hybrid,1x32
140,2,70,3,5.58843,46.8,hybrid,1x32
140,2,141,6,5.851102,47,hybrid,1x32
140,2,212,9,6.021414,47,hybrid,1x32
200,2,0,0,7.959248,49.2,hybrid,1x32
200,2,84,3,7.975326,49.2,hybrid,1x32
200,2,169,6,8.923214,49.4,hybrid,1x32
200,2,254,9,9.12691,49.6,hybrid,1x32
20,3,0,0,16.895258,132.8,hybrid,1x32
20,3,26,3,23.93868,132.4,hybrid,1x32
20,3,53,6,26.9189,138.2,hybrid,1x32
20,3,80,9,40.13932,152.6,hybrid,1x32
80,3,0,0,151.448,252.6,hybrid,1x32
80,3,53,3,172.385,255,hybrid,1x32
80,3,107,6,177.118,256.4,hybrid,1x32
80,3,160,9,182.5148,260.8,hybrid,1x32
140,3,0,0,469.7264,307.8,hybrid,1x32
140,3,70,3,500.2106,308.6,hybrid,1x32
140,3,141,6,513.326,310.2,hybrid,1x32
140,3,212,9,500.4526,312.2,hybrid,1x32
200,3,0,0,1017.7942,338.4,hybrid,1x32
200,3,84,3,1103.494,339.4,hybrid,1x32
200,3,169,6,1187.664,340.2,hybrid,1x32
200,3,254,9,1130.272,342.2,hybrid,1x32
20,2,0,0,1.090977,25.2,hybrid,2x16
20,2,26,3,1.4420662,25.8,hybrid,2x16
20,2,53,6,1.2823488,27.2,hybrid,2x16
20,2,80,9,2.389078,29.8,hybrid,2x16
80,2,0,0,2.693818,39.8,hybrid,2x16
80,2,53,3,2.105948,40,hybrid,2x16
80,2,107,6,3.19215,39.6,hybrid,2x16
80,2,160,9,3.347366,40.6,hybrid,2x16
140,2,0,0,4.702222,45.2,hybrid,2x16
140,2,70,3,7.421084,44.2,hybrid,2x16
140,2,141,6,3.44362,45.6,hybrid,2x16
140,2,212,9,4.154068,45.8,hybrid,2x16
200,2,0,0,8.819332,47.8,hybrid,2x16
200,2,84,3,6.465336,47.8,hybrid,2x16
200,2,169,6,7.660918,48.4,hybrid,2x16
200,2,254,9,8.808326,48.2,hybrid,2x16
20,3,0,0,19.96796,128.4,hybrid,2x16
20,3,26,3,13.755172,130.2,hybrid,2x16
20,3,53,6,25.31912,134.6,hybrid,2x16
20,3,80,9,37.54918,147,hybrid,2x16
80,3,0,0,174.1258,247.2,hybrid,2x16
80,3,53,3,211.2366,248.2,hybrid,2x16
80,3,107,6,203.2556,249.8,hybrid,2x16
80,3,160,9,218.3066,255,hybrid,2x16
140,3,0,0,632.7154,301.2,hybrid,2x16
140,3,70,3,691.3232,302.6,hybrid,2x16
140,3,141,6,678.242,303,hybrid,2x16
140,3,212,9,693.1776,305.6,hybrid,2x16
200,3,0,0,1649.21,332.4,hybrid,2x16
200,3,84,3,1698.094,333,hybrid,2x16
200,3,169,6,1796.42,335,hybrid,2x16
200,3,254,9,1685.2,334.8,hybrid,2x16
20,2,0,0,1.3665206,24.8,hybrid,4x8
20,2,26,3,1.655026,25.2,hybrid,4x8
20,2,53,6,2.13265,25.4,hybrid,4x8
20,2,80,9,2.078228,28.6,hybrid,4x8
80,2,0,0,4.506918,37.6,hybrid,4x8
80,2,53,3,5.436934,38.2,hybrid,4x8
80,2,107,6,5.718026,38.4,hybrid,4x8
80,2,160,9,3.50981,39.6,hybrid,4x8
140,2,0,0,6.478648,43.2,hybrid,4x8
140,2,70,3,6.957598,43.8,hybrid,4x8
140,2,141,6,10.26814,43.8,hybrid,4x8
140,2,212,9,10.672094,43.6,hybrid,4x8
200,2,0,0,7.285014,46.4,hybrid,4x8
200,2,84,3,8.998602,46.4,hybrid,4x8
200,2,169,6,7.703284,46.8,hybrid,4x8
200,2,254,9,5.625456,47.4,hybrid,4x8
20,3,0,0,21.4135,125.8,hybrid,4x8
20,3,26,3,28.91866,127.4,hybrid,4x8
20,3,53,6,22.15888,131.8,hybrid,4x8
20,3,80,9,43.32178,144.4,hybrid,4x8
80,3,0,0,260.0034,244.2,hybrid,4x8
80,3,53,3,293.8498,245,hybrid,4x8
80,3,107,6,294.2554,247.2,hybrid,4x8
80,3,160,9,334.9394,251.8,hybrid,4x8
140,3,0,0,978.2864,298.4,hybrid,4x8
140,3,70,3,1014.9264,298.4,hybrid,4x8
140,3,141,6,1041.93,299.2,hybrid,4x8
140,3,212,9,1066.336,301.2,hybrid,4x8
200,3,0,0,2734.276,329.2,hybrid,4x8
200,3,84,3,2678.104,329.2,hybrid,4x8
200,3,169,6,2599.158,329.4,hybrid,4x8
200,3,254,9,2901.918,330.4,hybrid,4x8
20,2,0,0,1.3249546,24.6,hybrid,8x4
20,2,26,3,1.336386,24.8,hybrid,8x4
20,2,53,6,1.98711,25.8,hybrid,8x4
20,2,80,9,2.826404,27.4,hybrid,8x4
80,2,0,0,4.437146,37.2,hybrid,8x4
80,2,53,3,4.852998,37.2,hybrid,8x4
80,2,107,6,6.206884,37.4,hybrid,8x4
80,2,160,9,6.868726,38.2,hybrid,8x4
140,2,0,0,7.006766,42.4,hybrid,8x4
140,2,70,3,10.21827,42.4,hybrid,8x4
140,2,141,6,10.1757,43.2,hybrid,8x4
