k,t,Qnum,approach,time,size,benchmarkName,benchmarkSet
172,2,7,acts-v29,0.77,33,Apache,real2
5,2,112,acts-v29,0.65,15,Banking1,real1
15,2,3,acts-v29,0.22,11,Banking2,real1
52,2,5,acts-v29,0.58,19,Bugzilla,real2
11,2,128,acts-v29,0.81,19,CommProtocol,real1
5,2,7,acts-v29,0.25,6,Concurrency,real1
199,2,40,acts-v29,0.99,23,GCC,real2
10,2,21,acts-v29,0.31,30,Healthcare1,real1
12,2,25,acts-v29,0.45,16,Healthcare2,real1
29,2,31,acts-v29,0.38,38,Healthcare3,real1
35,2,22,acts-v29,0.34,49,Healthcare4,real1
14,2,0,acts-v29,0.06,527,Insurance,real1
9,2,20,acts-v29,0.28,112,NetworkMgmt,real1
15,2,13,acts-v29,0.26,29,ProcessorComm1,real1
25,2,125,acts-v29,0.85,36,ProcessorComm2,real1
13,2,388,acts-v29,4.97,106,Services,real1
18,2,13,acts-v29,0.6,26,Spin-S,real2
55,2,49,acts-v29,36,44,Spin-V,real2
4,2,95,acts-v29,0.54,17,Storage1,real1
5,2,0,acts-v29,0.03,18,Storage2,real1
15,2,48,acts-v29,0.63,50,Storage3,real1
20,2,24,acts-v29,0.3,121,Storage4,real1
23,2,151,acts-v29,0.75,218,Storage5,real1
10,2,17,acts-v29,0.28,17,SystemMgmt,real1
10,2,21,acts-v29,0.3,30,Telecom,real1
172,3,7,acts-v29,13.69,173,Apache,real2
5,3,112,acts-v29,0.66,58,Banking1,real1
15,3,3,acts-v29,0.23,38,Banking2,real1
52,3,5,acts-v29,1,68,Bugzilla,real2
11,3,128,acts-v29,0.8,50,CommProtocol,real1
5,3,7,acts-v29,0.25,8,Concurrency,real1
199,3,40,acts-v29,14.58,108,GCC,real2
10,3,21,acts-v29,0.31,105,Healthcare1,real1
12,3,25,acts-v29,0.46,67,Healthcare2,real1
29,3,31,acts-v29,0.45,209,Healthcare3,real1
35,3,22,acts-v29,0.47,294,Healthcare4,real1
14,3,0,acts-v29,0.2,6866,Insurance,real1
9,3,20,acts-v29,0.33,1125,NetworkMgmt,real1
15,3,13,acts-v29,0.28,163,ProcessorComm1,real1
25,3,125,acts-v29,0.94,188,ProcessorComm2,real1
13,3,388,acts-v29,5.06,963,Services,real1
18,3,13,acts-v29,0.65,98,Spin-S,real2
55,3,49,acts-v29,37,284,Spin-V,real2
4,3,95,acts-v29,0.54,25,Storage1,real1
5,3,0,acts-v29,0.03,74,Storage2,real1
15,3,48,acts-v29,0.66,239,Storage3,real1
20,3,24,acts-v29,0.39,898,Storage4,real1
23,3,151,acts-v29,1.2,1879,Storage5,real1
10,3,17,acts-v29,0.28,60,SystemMgmt,real1
10,3,21,acts-v29,0.31,125,Telecom,real1
172,4,7,acts-v29,6852,838,Apache,real2
5,4,112,acts-v29,0.65,139,Banking1,real1
15,4,3,acts-v29,0.26,96,Banking2,real1
52,4,5,acts-v29,6,242,Bugzilla,real2
11,4,128,acts-v29,0.82,100,CommProtocol,real1
5,4,7,acts-v29,0.25,8,Concurrency,real1
199,4,40,acts-v29,5930,444,GCC,real2
10,4,21,acts-v29,0.33,342,Healthcare1,real1
12,4,25,acts-v29,0.48,220,Healthcare2,real1
29,4,31,acts-v29,1.75,1004,Healthcare3,real1
35,4,22,acts-v29,5,1644,Healthcare4,real1
14,4,0,acts-v29,1.97,75764,Insurance,real1
9,4,20,acts-v29,0.49,6267,NetworkMgmt,real1
15,4,13,acts-v29,0.4,670,ProcessorComm1,real1
25,4,125,acts-v29,2.38,903,ProcessorComm2,real1
13,4,388,acts-v29,5.83,6855,Services,real1
18,4,13,acts-v29,0.9,393,Spin-S,real2
55,4,49,acts-v29,82,1618,Spin-V,real2
4,4,95,acts-v29,0.54,25,Storage1,real1
5,4,0,acts-v29,0.03,195,Storage2,real1
15,4,48,acts-v29,0.79,752,Storage3,real1
20,4,24,acts-v29,1.44,6046,Storage4,real1
23,4,151,acts-v29,13,13292,Storage5,real1
10,4,17,acts-v29,0.3,152,SystemMgmt,real1
10,4,21,acts-v29,0.33,390,Telecom,real1
172,2,7,hhsa-h,3676,30,Apache,real2
5,2,112,hhsa-h,205,13,Banking1,real1
15,2,3,hhsa-h,96,10,Banking2,real1
52,2,5,hhsa-h,119,16,Bugzilla,real2
11,2,128,hhsa-h,898,16,CommProtocol,real1
5,2,7,hhsa-h,76,5,Concurrency,real1
199,2,40,hhsa-h,2552,18,GCC,real2
10,2,21,hhsa-h,193,30,Healthcare1,real1
12,2,25,hhsa-h,143,14,Healthcare2,real1
29,2,31,hhsa-h,189,34,Healthcare3,real1
35,2,22,hhsa-h,230,46,Healthcare4,real1
14,2,0,hhsa-h,1549,527,Insurance,real1
9,2,20,hhsa-h,229,110,NetworkMgmt,real1
15,2,13,hhsa-h,123,22,ProcessorComm1,real1
25,2,125,hhsa-h,66,27,ProcessorComm2,real1
13,2,388,hhsa-h,1008,100,Services,real1
18,2,13,hhsa-h,144,19,Spin-S,real2
55,2,49,hhsa-h,1725,31,Spin-V,real2
4,2,95,hhsa-h,396,17,Storage1,real1
5,2,0,hhsa-h,100,18,Storage2,real1
15,2,48,hhsa-h,578,50,Storage3,real1
20,2,24,hhsa-h,345,117,Storage4,real1
23,2,151,hhsa-h,1501,215,Storage5,real1
10,2,17,hhsa-h,103,15,SystemMgmt,real1
10,2,21,hhsa-h,163,30,Telecom,real1
172,3,7,hhsa-h,*,*,Apache,real2
5,3,112,hhsa-h,*,*,Banking1,real1
15,3,3,hhsa-h,*,*,Banking2,real1
52,3,5,hhsa-h,1726,60,Bugzilla,real2
