k,t,Qnum,Qlevel,Qlength,time,size,approach
20,2,0,0,2,0.01,22.8,sequential
20,2,8,1,2,0.01,22.8,sequential
20,2,17,2,2,0.02,22.8,sequential
20,2,26,3,2,0.03,22.8,sequential
20,2,35,4,2,0.038,22.8,sequential
20,2,44,5,2,0.052,22.8,sequential
20,2,53,6,2,0.066,22.8,sequential
20,2,62,7,2,0.076,22.8,sequential
20,2,71,8,2,0.09,22.8,sequential
20,2,80,9,2,0.102,22.8,sequential
80,2,0,0,2,0.156,32.6,sequential
80,2,17,1,2,0.212,32.6,sequential
80,2,35,2,2,0.264,32.6,sequential
80,2,53,3,2,0.34,32.6,sequential
80,2,71,4,2,0.4,32.6,sequential
80,2,89,5,2,0.47,32.6,sequential
80,2,107,6,2,0.546,32.6,sequential
80,2,125,7,2,0.62,32.6,sequential
80,2,143,8,2,0.71,32.6,sequential
80,2,160,9,2,0.784,32.6,sequential
140,2,0,0,2,0.5,36.6,sequential
140,2,23,1,2,0.622,36.6,sequential
140,2,47,2,2,0.762,36.6,sequential
140,2,70,3,2,0.882,36.6,sequential
140,2,94,4,2,1.026,36.6,sequential
140,2,118,5,2,1.184,36.6,sequential
140,2,141,6,2,1.314,36.6,sequential
140,2,165,7,2,1.482,36.6,sequential
140,2,189,8,2,1.656,36.6,sequential
140,2,212,9,2,1.824,36.6,sequential
200,2,0,0,2,1.016,39,sequential
200,2,28,1,2,1.212,39,sequential
200,2,56,2,2,1.458,39,sequential
200,2,84,3,2,1.674,39,sequential
200,2,113,4,2,1.908,39,sequential
200,2,141,5,2,2.146,39,sequential
200,2,169,6,2,2.374,39,sequential
200,2,197,7,2,2.646,39,sequential
200,2,226,8,2,2.938,39,sequential
200,2,254,9,2,3.208,39,sequential
20,3,0,0,2,4.132,106,sequential
20,3,8,1,2,4.226,106,sequential
20,3,17,2,2,4.276,106,sequential
20,3,26,3,2,4.376,106,sequential
20,3,35,4,2,4.48,106,sequential
20,3,44,5,2,4.69,106,sequential
20,3,53,6,2,4.776,106,sequential
20,3,62,7,2,4.98,106,sequential
20,3,71,8,2,5.176,106,sequential
20,3,80,9,2,5.36,106,sequential
80,3,0,0,2,261.048,189.2,sequential
80,3,17,1,2,260.318,189.2,sequential
80,3,35,2,2,261.544,189.2,sequential
80,3,53,3,2,262.744,189.2,sequential
80,3,71,4,2,264.004,189.2,sequential
80,3,89,5,2,264.708,189.2,sequential
80,3,107,6,2,264.476,189.2,sequential
80,3,125,7,2,267.63,189.2,sequential
80,3,143,8,2,267.952,189.2,sequential
80,3,160,9,2,269.36,189.2,sequential
140,3,0,0,2,1391.466,232.8,sequential
140,3,23,1,2,1393.25,232.8,sequential
140,3,47,2,2,1396.852,232.8,sequential
140,3,70,3,2,1397.736,232.8,sequential
140,3,94,4,2,1400.352,232.8,sequential
140,3,118,5,2,1399.122,232.8,sequential
140,3,141,6,2,1399.56,232.8,sequential
140,3,165,7,2,1407.822,232.8,sequential
140,3,189,8,2,1418.424,232.8,sequential
140,3,212,9,2,1420.646,232.8,sequential
200,3,0,0,2,3913.394,258,sequential
200,3,28,1,2,3926.86,258,sequential
200,3,56,2,2,3947.084,258,sequential
200,3,84,3,2,3942.118,258,sequential
200,3,113,4,2,3943.35,258,sequential
200,3,141,5,2,3977.114,258,sequential
200,3,169,6,2,3945.02,258,sequential
200,3,197,7,2,3974.404,258,sequential
200,3,226,8,2,3971.84,258,sequential
200,3,254,9,2,3992.132,258,sequential
20,2,0,0,2,0.5198432,22.8,parallelRowwise
20,2,8,1,2,0.556421,22.8,parallelRowwise
20,2,17,2,2,0.5644314,22.8,parallelRowwise
20,2,26,3,2,0.5760012,22.8,parallelRowwise
20,2,35,4,2,0.5803538,22.8,parallelRowwise
20,2,44,5,2,0.5883812,22.8,parallelRowwise
20,2,53,6,2,0.59457,22.8,parallelRowwise
20,2,62,7,2,0.5999588,22.8,parallelRowwise
20,2,71,8,2,0.605061,22.8,parallelRowwise
20,2,80,9,2,0.6126606,22.8,parallelRowwise
80,2,0,0,2,1.54522,32.6,parallelRowwise
80,2,17,1,2,1.66041,32.6,parallelRowwise
80,2,35,2,2,1.692638,32.6,parallelRowwise
80,2,53,3,2,1.68645,32.6,parallelRowwise
80,2,71,4,2,1.721874,32.6,parallelRowwise
80,2,89,5,2,1.733214,32.6,parallelRowwise
80,2,107,6,2,1.748426,32.6,parallelRowwise
80,2,125,7,2,1.75536,32.6,parallelRowwise
80,2,143,8,2,1.790728,32.6,parallelRowwise
80,2,160,9,2,1.808536,32.6,parallelRowwise
140,2,0,0,2,2.543784,36.6,parallelRowwise
140,2,23,1,2,2.752486,36.6,parallelRowwise
140,2,47,2,2,2.783904,36.6,parallelRowwise
140,2,70,3,2,2.810832,36.6,parallelRowwise
140,2,94,4,2,2.83909,36.6,parallelRowwise
140,2,118,5,2,2.86037,36.6,parallelRowwise
140,2,141,6,2,2.883492,36.6,parallelRowwise
140,2,165,7,2,2.911588,36.6,parallelRowwise
140,2,189,8,2,2.93381,36.6,parallelRowwise
140,2,212,9,2,2.95708,36.6,parallelRowwise
200,2,0,0,2,3.563158,39,parallelRowwise
200,2,28,1,2,3.867742,39,parallelRowwise
200,2,56,2,2,3.906568,39,parallelRowwise
200,2,84,3,2,3.945884,39,parallelRowwise
200,2,113,4,2,3.949074,39,parallelRowwise
200,2,141,5,2,3.99175,39,parallelRowwise
200,2,169,6,2,4.046708,39,parallelRowwise
200,2,197,7,2,4.072582,39,parallelRowwise
200,2,226,8,2,4.116488,39,parallelRowwise
200,2,254,9,2,4.09347,39,parallelRowwise
20,3,0,0,2,5.878276,106,parallelRowwise
20,3,8,1,2,6.323502,106,parallelRowwise
20,3,17,2,2,6.45996,106,parallelRowwise
20,3,26,3,2,6.53188,106,parallelRowwise
20,3,35,4,2,6.722954,106,parallelRowwise
20,3,44,5,2,6.80687,106,parallelRowwise
20,3,53,6,2,6.950622,106,parallelRowwise
20,3,62,7,2,6.97073,106,parallelRowwise
20,3,71,8,2,7.162138,106,parallelRowwise
20,3,80,9,2,7.213052,106,parallelRowwise
80,3,0,0,2,30.84582,189.2,parallelRowwise
80,3,17,1,2,32.62288,189.2,parallelRowwise
80,3,35,2,2,33.0238,189.2,parallelRowwise
80,3,53,3,2,33.24834,189.2,parallelRowwise
80,3,71,4,2,33.59708,189.2,parallelRowwise
80,3,89,5,2,33.68836,189.2,parallelRowwise
80,3,107,6,2,34.06576,189.2,parallelRowwise
80,3,125,7,2,34.39596,189.2,parallelRowwise
80,3,143,8,2,34.44936,189.2,parallelRowwise
80,3,160,9,2,34.69642,189.2,parallelRowwise
140,3,0,0,2,100.32456,232.8,parallelRowwise
140,3,23,1,2,103.4214,232.8,parallelRowwise
140,3,47,2,2,104.186,232.8,parallelRowwise
140,3,70,3,2,104.9242,232.8,parallelRowwise
140,3,94,4,2,105.6148,232.8,parallelRowwise
140,3,118,5,2,106.5236,232.8,parallelRowwise
140,3,141,6,2,107.5216,232.8,parallelRowwise
140,3,165,7,2,107.1268,232.8,parallelRowwise
140,3,189,8,2,107.59,232.8,parallelRowwise
140,3,212,9,2,108.157,232.8,parallelRowwise
200,3,0,0,2,232.9718,258,parallelRowwise
200,3,28,1,2,237.5236,258,parallelRowwise
200,3,56,2,2,239.174,258,parallelRowwise
200,3,84,3,2,240.5632,258,parallelRowwise
200,3,113,4,2,240.1938,258,parallelRowwise
200,3,141,5,2,240.9144,258,parallelRowwise
200,3,169,6,2,243.1808,258,parallelRowwise
200,3,197,7,2,243.178,258,parallelRowwise
200,3,226,8,2,243.331,258,parallelRowwise
200,3,254,9,2,244.4646,258,parallelRowwise
20,2,0,0,2,0.521109,22.8,parallelColwise
20,2,8,1,2,0.5505896,22.8,parallelColwise
20,2,17,2,2,0.5596074,22.8,parallelColwise
20,2,26,3,2,0.568885,22.8,parallelColwise
20,2,35,4,2,0.5753758,22.8,parallelColwise
20,2,44,5,2,0.5870294,22.8,parallelColwise
20,2,53,6,2,0.5917378,22.8,parallelColwise
20,2,62,7,2,0.5975248,22.8,parallelColwise
20,2,71,8,2,0.6099086,22.8,parallelColwise
20,2,80,9,2,0.611933,22.8,parallelColwise
80,2,0,0,2,1.531282,32.6,parallelColwise
80,2,17,1,2,1.637234,32.6,parallelColwise
80,2,35,2,2,1.661312,32.6,parallelColwise
80,2,53,3,2,1.681568,32.6,parallelColwise
80,2,71,4,2,1.697136,32.6,parallelColwise
80,2,89,5,2,1.728012,32.6,parallelColwise
80,2,107,6,2,1.748018,32.6,parallelColwise
80,2,125,7,2,1.751628,32.6,parallelColwise
80,2,143,8,2,1.77183,32.6,parallelColwise
80,2,160,9,2,1.797414,32.6,parallelColwise
140,2,0,0,2,2.529646,36.6,parallelColwise
140,2,23,1,2,2.733946,36.6,parallelColwise
140,2,47,2,2,2.768206,36.6,parallelColwise
140,2,70,3,2,2.78434,36.6,parallelColwise
140,2,94,4,2,2.801716,36.6,parallelColwise
140,2,118,5,2,2.821836,36.6,parallelColwise
140,2,141,6,2,2.840336,36.6,parallelColwise
140,2,165,7,2,2.861928,36.6,parallelColwise
140,2,189,8,2,2.90483,36.6,parallelColwise
140,2,212,9,2,2.947936,36.6,parallelColwise
200,2,0,0,2,3.511954,39,parallelColwise
200,2,28,1,2,3.81669,39,parallelColwise
200,2,56,2,2,3.844766,39,parallelColwise
200,2,84,3,2,3.871494,39,parallelColwise
200,2,113,4,2,3.921238,39,parallelColwise
200,2,141,5,2,3.978784,39,parallelColwise
200,2,169,6,2,3.950778,39,parallelColwise
200,2,197,7,2,4.042506,39,parallelColwise
200,2,226,8,2,4.055102,39,parallelColwise
200,2,254,9,2,4.076152,39,parallelColwise
20,3,0,0,2,5.85145,106,parallelColwise
20,3,8,1,2,6.309038,106,parallelColwise
20,3,17,2,2,6.392194,106,parallelColwise
20,3,26,3,2,6.548328,106,parallelColwise
20,3,35,4,2,6.634892,106,parallelColwise
20,3,44,5,2,6.77429,106,parallelColwise
20,3,53,6,2,6.882612,106,parallelColwise
20,3,62,7,2,6.947696,106,parallelColwise
20,3,71,8,2,7.120616,106,parallelColwise
20,3,80,9,2,7.231452,106,parallelColwise
80,3,0,0,2,30.0139,189.2,parallelColwise
80,3,17,1,2,31.9128,189.2,parallelColwise
80,3,35,2,2,32.41702,189.2,parallelColwise
80,3,53,3,2,32.78828,189.2,parallelColwise
80,3,71,4,2,33.04314,189.2,parallelColwise
80,3,89,5,2,33.43448,189.2,parallelColwise
80,3,107,6,2,33.63428,189.2,parallelColwise
80,3,125,7,2,33.93166,189.2,parallelColwise
80,3,143,8,2,33.98636,189.2,parallelColwise
80,3,160,9,2,34.2416,189.2,parallelColwise
140,3,0,0,2,96.49514,232.8,parallelColwise
140,3,23,1,2,99.92938,232.8,parallelColwise
140,3,47,2,2,100.6521,232.8,parallelColwise
140,3,70,3,2,101.17126,232.8,parallelColwise
140,3,94,4,2,101.7046,232.8,parallelColwise
140,3,118,5,2,102.31226,232.8,parallelColwise
140,3,141,6,2,102.414,232.8,parallelColwise
140,3,165,7,2,102.734,232.8,parallelColwise
140,3,189,8,2,103.7216,232.8,parallelColwise
140,3,212,9,2,104.483,232.8,parallelColwise
200,3,0,0,2,217.3378,258,parallelColwise
200,3,28,1,2,222.7024,258,parallelColwise
200,3,56,2,2,222.252,258,parallelColwise
200,3,84,3,2,222.8142,258,parallelColwise
200,3,113,4,2,224.2454,258,parallelColwise
200,3,141,5,2,224.4294,258,parallelColwise
200,3,169,6,2,225.3086,258,parallelColwise
200,3,197,7,2,227.3716,258,parallelColwise
200,3,226,8,2,228.1832,258,parallelColwise
200,3,254,9,2,228.8256,258,parallelColwise
