k,t,Qnum,Qlevel,Qlength,approach,time,size
20,2,0,0,2,acts-v28,0.0386,30.8
80,2,0,0,2,acts-v28,0.1038,44
140,2,0,0,2,acts-v28,0.1688,49.6
200,2,0,0,2,acts-v28,2.5166,52.4
20,3,0,0,2,acts-v28,0.0868,141.6
80,3,0,0,2,acts-v28,1.0388,252.8
140,3,0,0,2,acts-v28,6.5376,310.8
200,3,0,0,2,acts-v28,19.1372,344.2
20,2,0,0,3,acts-v28,0.0388,30.8
80,2,0,0,3,acts-v28,0.1036,44
140,2,0,0,3,acts-v28,0.166,49.6
200,2,0,0,3,acts-v28,0.2422,52.4
20,3,0,0,3,acts-v28,0.0872,141.6
80,3,0,0,3,acts-v28,1.0406,252.8
140,3,0,0,3,acts-v28,6.211,310.8
200,3,0,0,3,acts-v28,21.9482,344.2
20,2,0,0,4,acts-v28,0.0394,30.8
80,2,0,0,4,acts-v28,0.1032,44
140,2,0,0,4,acts-v28,0.1678,49.6
200,2,0,0,4,acts-v28,0.2398,52.4
20,3,0,0,4,acts-v28,0.0866,141.6
80,3,0,0,4,acts-v28,1.0408,252.8
140,3,0,0,4,acts-v28,6.1868,310.8
200,3,0,0,4,acts-v28,20.0884,344.2
20,2,0,0,5,acts-v28,0.0392,30.8
80,2,0,0,5,acts-v28,0.1032,44
140,2,0,0,5,acts-v28,0.1694,49.6
200,2,0,0,5,acts-v28,0.2424,52.4
20,3,0,0,5,acts-v28,0.0866,141.6
80,3,0,0,5,acts-v28,1.0326,252.8
140,3,0,0,5,acts-v28,6.2394,310.8
200,3,0,0,5,acts-v28,21.7796,344.2
20,2,26,3,2,acts-v28,8.191,29.6
80,2,53,3,2,acts-v28,20.826,42.6
140,2,70,3,2,acts-v28,4.9198,48.6
200,2,84,3,2,acts-v28,13.4122,51
20,3,26,3,2,acts-v28,7.7828,150.6
80,3,53,3,2,acts-v28,54.0156,266
140,3,70,3,2,acts-v28,98.4096,316.8
200,3,84,3,2,acts-v28,51.0592,346.4
20,2,26,3,3,acts-v28,10.3576,30.6
80,2,53,3,3,acts-v28,13.0112,43.8
140,2,70,3,3,acts-v28,37.1336,49.2
200,2,84,3,3,acts-v28,74.942,52.2
20,3,26,3,3,acts-v28,6.0786,140.2
80,3,53,3,3,acts-v28,228.7504,253.2
140,3,70,3,3,acts-v28,1088.2726,313.8
200,3,84,3,3,acts-v28,2521.9714,345.2
20,2,26,3,4,acts-v28,12.1356,30.8
80,2,53,3,4,acts-v28,17.809,43.6
140,2,70,3,4,acts-v28,61.7564,49.6
200,2,84,3,4,acts-v28,143.7914,52.4
20,3,26,3,4,acts-v28,6.8184,141.4
80,3,53,3,4,acts-v28,293.7802,252.6
140,3,70,3,4,acts-v28,1573.583,312.8
200,3,84,3,4,acts-v28,4138.6494,343.4
20,2,26,3,5,acts-v28,10.0564,30.8
80,2,53,3,5,acts-v28,25.2444,44
140,2,70,3,5,acts-v28,74.5292,49.6
200,2,84,3,5,acts-v28,178.2594,52.4
20,3,26,3,5,acts-v28,8.2692,141.4
80,3,53,3,5,acts-v28,360.35,252.6
140,3,70,3,5,acts-v28,2050.3748,311
200,3,84,3,5,acts-v28,5701.7096,344.2
20,2,53,6,2,acts-v28,11.8898,32.8
80,2,107,6,2,acts-v28,49.8216,44.2
140,2,141,6,2,acts-v28,71.835,48.4
200,2,169,6,2,acts-v28,143.7194,51.2
20,3,53,6,2,acts-v28,36.1928,173.6
80,3,107,6,2,acts-v28,1961.3948,283.6
140,3,141,6,2,acts-v28,7350.8468,326
200,3,169,6,2,acts-v28,12932.4704,351.8
20,2,53,6,3,acts-v28,3.0938,30.6
80,2,107,6,3,acts-v28,37.814,44.2
140,2,141,6,3,acts-v28,98.614,48.6
200,2,169,6,3,acts-v28,244.9026,52
20,3,53,6,3,acts-v28,11.002,143.4
80,3,107,6,3,acts-v28,528.5154,257.4
140,3,141,6,3,acts-v28,2887.1664,313
200,3,169,6,3,acts-v28,8167.2596,345.6
20,2,53,6,4,acts-v28,3.4994,30.8
80,2,107,6,4,acts-v28,31.1968,43.8
140,2,141,6,4,acts-v28,123.1888,49.4
200,2,169,6,4,acts-v28,310.7738,51.8
20,3,53,6,4,acts-v28,11.4068,141
80,3,107,6,4,acts-v28,556.7128,252.6
140,3,141,6,4,acts-v28,3374.8634,311.6
200,3,169,6,4,acts-v28,9377.8528,344.2
20,2,53,6,5,acts-v28,3.8072,30.8
80,2,107,6,5,acts-v28,37.3574,44
140,2,141,6,5,acts-v28,149.3134,49.6
200,2,169,6,5,acts-v28,388.607,52
20,3,53,6,5,acts-v28,12.8274,140.6
80,3,107,6,5,acts-v28,641.6378,252.6
140,3,141,6,5,acts-v28,3873.7628,311
200,3,169,6,5,acts-v28,10853.352,344.2
20,2,80,9,2,acts-v28,7.4456,37.6
80,2,160,9,2,acts-v28,66.5952,48
140,2,212,9,2,acts-v28,202.3482,51.2
200,2,254,9,2,acts-v28,382.29,53
20,3,80,9,2,acts-v28,131.9278,208.8
80,3,160,9,2,acts-v28,8349.0016,328
140,3,212,9,2,acts-v28,31169.2852,358.6
200,3,254,9,2,acts-v28,61379,367.3
20,2,80,9,3,acts-v28,3.8416,30.6
80,2,160,9,3,acts-v28,37.934,43.8
140,2,212,9,3,acts-v28,145.469,48.8
200,2,254,9,3,acts-v28,378.7484,52.2
20,3,80,9,3,acts-v28,19.5188,152.8
80,3,160,9,3,acts-v28,792.2568,256.6
140,3,212,9,3,acts-v28,4250.8846,313.8
200,3,254,9,3,acts-v28,12078.6274,345.2
20,2,80,9,4,acts-v28,4.131,30.8
80,2,160,9,4,acts-v28,43.5618,43.8
140,2,212,9,4,acts-v28,180.8002,49.8
200,2,254,9,4,acts-v28,473.2892,52.4
20,3,80,9,4,acts-v28,15.5976,141.6
80,3,160,9,4,acts-v28,785.0166,253.2
140,3,212,9,4,acts-v28,4690.844,312.4
200,3,254,9,4,acts-v28,13106.6584,344.4
20,2,80,9,5,acts-v28,4.538,30.8
80,2,160,9,5,acts-v28,52.703,44
140,2,212,9,5,acts-v28,215.0726,49.6
200,2,254,9,5,acts-v28,560.9682,52.4
20,3,80,9,5,acts-v28,16.8852,140.6
80,3,160,9,5,acts-v28,894.2748,252.6
140,3,212,9,5,acts-v28,5159.1506,312
200,3,254,9,5,acts-v28,15036.4606,344.2
20,2,0,0,2,acts-v29,0.035,30.8
80,2,0,0,2,acts-v29,0.0798,44
140,2,0,0,2,acts-v29,0.1366,49.6
200,2,0,0,2,acts-v29,0.2044,52.4
20,3,0,0,2,acts-v29,0.0678,141.6
80,3,0,0,2,acts-v29,1.0616,252.8
140,3,0,0,2,acts-v29,6.1472,310.8
200,3,0,0,2,acts-v29,18.933,344.2
20,2,0,0,3,acts-v29,0.034,30.8
80,2,0,0,3,acts-v29,0.0808,44
140,2,0,0,3,acts-v29,0.1356,49.6
200,2,0,0,3,acts-v29,0.2018,52.4
20,3,0,0,3,acts-v29,0.069,141.6
80,3,0,0,3,acts-v29,1.0518,252.8
140,3,0,0,3,acts-v29,6.1024,310.8
200,3,0,0,3,acts-v29,18.8314,344.2
20,2,0,0,4,acts-v29,0.0348,30.8
80,2,0,0,4,acts-v29,0.0804,44
140,2,0,0,4,acts-v29,0.1362,49.6
200,2,0,0,4,acts-v29,0.2008,52.4
20,3,0,0,4,acts-v29,0.069,141.6
80,3,0,0,4,acts-v29,1.0528,252.8
140,3,0,0,4,acts-v29,6.1174,310.8
200,3,0,0,4,acts-v29,18.9046,344.2
20,2,0,0,5,acts-v29,0.0342,30.8
80,2,0,0,5,acts-v29,0.08,44
140,2,0,0,5,acts-v29,0.1362,49.6
200,2,0,0,5,acts-v29,0.2028,52.4
20,3,0,0,5,acts-v29,0.0682,141.6
80,3,0,0,5,acts-v29,1.0506,252.8
140,3,0,0,5,acts-v29,6.111,310.8
200,3,0,0,5,acts-v29,18.8664,344.2
20,2,26,3,2,acts-v29,0.2992,29.6
80,2,53,3,2,acts-v29,0.4126,42.6
140,2,70,3,2,acts-v29,0.5082,48.6
200,2,84,3,2,acts-v29,0.5804,51
20,3,26,3,2,acts-v29,0.3374,150.6
80,3,53,3,2,acts-v29,1.758,266
140,3,70,3,2,acts-v29,8.532,316.8
200,3,84,3,2,acts-v29,25.9756,346.4
20,2,26,3,3,acts-v29,0.3312,30.6
80,2,53,3,3,acts-v29,0.489,43.8
140,2,70,3,3,acts-v29,0.639,49.2
200,2,84,3,3,acts-v29,0.7454,52.2
20,3,26,3,3,acts-v29,0.363,140.2
80,3,53,3,3,acts-v29,1.5906,253.2
140,3,70,3,3,acts-v29,7.3502,313.8
200,3,84,3,3,acts-v29,21.5588,345.2
20,2,26,3,4,acts-v29,0.3474,30.8
80,2,53,3,4,acts-v29,0.5296,43.6
140,2,70,3,4,acts-v29,0.6862,49.6
200,2,84,3,4,acts-v29,0.8242,52.4
20,3,26,3,4,acts-v29,0.3886,141.4
80,3,53,3,4,acts-v29,1.4932,252.6
140,3,70,3,4,acts-v29,6.7086,312.8
200,3,84,3,4,acts-v29,19.6252,343.4
20,2,26,3,5,acts-v29,0.385,30.8
80,2,53,3,5,acts-v29,0.5802,44
140,2,70,3,5,acts-v29,0.7572,49.6
200,2,84,3,5,acts-v29,0.9212,52.4
20,3,26,3,5,acts-v29,0.4212,141.4
80,3,53,3,5,acts-v29,1.5616,252.6
140,3,70,3,5,acts-v29,6.7778,311
200,3,84,3,5,acts-v29,19.746,344.2
20,2,53,6,2,acts-v29,0.3654,32.8
80,2,107,6,2,acts-v29,0.6078,44.2
140,2,141,6,2,acts-v29,0.8086,48.4
200,2,169,6,2,acts-v29,0.9972,51.2
20,3,53,6,2,acts-v29,0.4146,173.6
80,3,107,6,2,acts-v29,2.0546,283.6
140,3,141,6,2,acts-v29,9.3398,326
200,3,169,6,2,acts-v29,27.397,351.8
20,2,53,6,3,acts-v29,0.4172,30.6
80,2,107,6,3,acts-v29,0.6758,44.2
140,2,141,6,3,acts-v29,0.966,48.6
200,2,169,6,3,acts-v29,1.44,52
20,3,53,6,3,acts-v29,0.4572,143.4
80,3,107,6,3,acts-v29,1.8832,257.4
140,3,141,6,3,acts-v29,8.1052,313
200,3,169,6,3,acts-v29,23.4976,345.6
20,2,53,6,4,acts-v29,0.4482,30.8
80,2,107,6,4,acts-v29,0.7674,43.8
140,2,141,6,4,acts-v29,1.138,49.4
200,2,169,6,4,acts-v29,1.6458,51.8
20,3,53,6,4,acts-v29,0.4844,141
80,3,107,6,4,acts-v29,1.7636,252.6
140,3,141,6,4,acts-v29,7.1996,311.6
200,3,169,6,4,acts-v29,20.4876,344.2
20,2,53,6,5,acts-v29,0.4804,30.8
80,2,107,6,5,acts-v29,0.8404,44
140,2,141,6,5,acts-v29,1.3164,49.6
200,2,169,6,5,acts-v29,1.962,52
20,3,53,6,5,acts-v29,0.5138,140.6
80,3,107,6,5,acts-v29,1.8178,252.6
140,3,141,6,5,acts-v29,7.4158,311
200,3,169,6,5,acts-v29,20.8446,344.2
20,2,80,9,2,acts-v29,0.426,37.6
80,2,160,9,2,acts-v29,0.7728,48
140,2,212,9,2,acts-v29,1.215,51.2
200,2,254,9,2,acts-v29,1.7226,53
20,3,80,9,2,acts-v29,0.4956,208.8
80,3,160,9,2,acts-v29,2.4752,328
140,3,212,9,2,acts-v29,10.438,358.6
200,3,254,9,2,acts-v29,30.4976,379.6
20,2,80,9,3,acts-v29,0.484,30.6
80,2,160,9,3,acts-v29,0.8996,43.8
140,2,212,9,3,acts-v29,1.4778,48.8
200,2,254,9,3,acts-v29,2.2348,52.2
20,3,80,9,3,acts-v29,0.5182,152.8
80,3,160,9,3,acts-v29,2.1336,256.6
140,3,212,9,3,acts-v29,8.7764,313.8
200,3,254,9,3,acts-v29,24.9408,345.2
20,2,80,9,4,acts-v29,0.5066,30.8
80,2,160,9,4,acts-v29,1.03,43.8
140,2,212,9,4,acts-v29,1.8192,49.8
200,2,254,9,4,acts-v29,2.9108,52.4
20,3,80,9,4,acts-v29,0.544,141.6
80,3,160,9,4,acts-v29,2.0456,253.2
140,3,212,9,4,acts-v29,7.9218,312.4
200,3,254,9,4,acts-v29,21.9262,344.4
20,2,80,9,5,acts-v29,0.55,30.8
80,2,160,9,5,acts-v29,1.1654,44
140,2,212,9,5,acts-v29,2.1108,49.6
200,2,254,9,5,acts-v29,3.4676,52.4
20,3,80,9,5,acts-v29,0.587,140.6
80,3,160,9,5,acts-v29,2.1986,252.6
140,3,212,9,5,acts-v29,8.1734,312
200,3,254,9,5,acts-v29,22.2482,344.2
20,2,0,0,2,b-chip,2.768532,25
20,2,0,0,3,b-chip,2.566926,25
20,2,0,0,4,b-chip,3.03772,25
20,2,0,0,5,b-chip,3.195118,24.8
20,3,0,0,2,b-chip,63.65442,125.2
20,3,0,0,3,b-chip,60.81006,125.6
20,3,0,0,4,b-chip,61.5899,125.6
20,3,0,0,5,b-chip,53.80212,125
80,2,0,0,2,b-chip,8.331838,37.4
80,2,0,0,3,b-chip,7.700546,37.8
80,2,0,0,4,b-chip,7.738252,37.4
80,2,0,0,5,b-chip,8.050042,37.4
80,3,0,0,2,b-chip,613.5296,240.2
80,3,0,0,3,b-chip,611.512,240.2
80,3,0,0,4,b-chip,610.3206,240
80,3,0,0,5,b-chip,612.772,240
140,2,0,0,2,b-chip,13.29048,42.4
140,2,0,0,3,b-chip,13.21988,42.4
140,2,0,0,4,b-chip,13.09498,42.2
140,2,0,0,5,b-chip,13.47056,42.8
140,3,0,0,2,b-chip,2011.748,292.8
140,3,0,0,3,b-chip,2008.744,292.4
140,3,0,0,4,b-chip,2006.418,292.4
140,3,0,0,5,b-chip,2007.088,292.2
200,2,0,0,2,b-chip,21.3936,45.2
200,2,0,0,3,b-chip,21.80678,45
200,2,0,0,4,b-chip,22.03084,45
200,2,0,0,5,b-chip,21.1618,45.2
200,3,0,0,2,b-chip,4617.784,323.2
200,3,0,0,3,b-chip,4616.398,322.6
200,3,0,0,4,b-chip,4619.686,322.6
200,3,0,0,5,b-chip,4626.022,323.2
20,2,26,3,2,b-chip,2.36568,24.8
20,2,26,3,3,b-chip,2.308706,25
20,2,26,3,4,b-chip,2.239654,25.2
20,2,26,3,5,b-chip,2.501262,25
20,3,26,3,2,b-chip,56.19008,126.2
20,3,26,3,3,b-chip,50.49766,125.4
20,3,26,3,4,b-chip,51.17724,125
20,3,26,3,5,b-chip,49.21688,126.4
80,2,53,3,2,b-chip,7.541704,37.6
80,2,53,3,3,b-chip,6.873194,37.4
80,2,53,3,4,b-chip,7.54854,37.4
80,2,53,3,5,b-chip,7.347962,37.2
80,3,53,3,2,b-chip,554.2548,242.8
80,3,53,3,3,b-chip,625.1892,240.4
80,3,53,3,4,b-chip,620.954,240.4
80,3,53,3,5,b-chip,597.8022,239.8
140,2,70,3,2,b-chip,13.21892,42.6
140,2,70,3,3,b-chip,12.09854,42.4
140,2,70,3,4,b-chip,13.72714,42.8
140,2,70,3,5,b-chip,12.7104,42.4
140,3,70,3,2,b-chip,1955.554,295.2
140,3,70,3,3,b-chip,1992.738,293.2
140,3,70,3,4,b-chip,1979.994,292.6
140,3,70,3,5,b-chip,1977.97,292.6
200,2,84,3,2,b-chip,20.88522,45.2
200,2,84,3,3,b-chip,18.99428,45
200,2,84,3,4,b-chip,18.85674,45.2
200,2,84,3,5,b-chip,18.03212,45
200,3,84,3,2,b-chip,4624.392,324.2
200,3,84,3,3,b-chip,4579.044,323
200,3,84,3,4,b-chip,4549.974,322.6
200,3,84,3,5,b-chip,4559.838,322.6
20,2,53,6,2,b-chip,1.96285,26
20,2,53,6,3,b-chip,2.345464,25.4
20,2,53,6,4,b-chip,2.392354,25
20,2,53,6,5,b-chip,2.486054,25
20,3,53,6,2,b-chip,41.38406,131.4
20,3,53,6,3,b-chip,53.43862,126
20,3,53,6,4,b-chip,60.4984,125
20,3,53,6,5,b-chip,48.57424,125.6
80,2,107,6,2,b-chip,8.130482,37.8
80,2,107,6,3,b-chip,6.883268,37
80,2,107,6,4,b-chip,7.645186,37.6
80,2,107,6,5,b-chip,7.932128,37.2
80,3,107,6,2,b-chip,538.7006,245.2
80,3,107,6,3,b-chip,594.0316,241.4
80,3,107,6,4,b-chip,604.4384,240.2
80,3,107,6,5,b-chip,626.4344,240.4
140,2,141,6,2,b-chip,14.77172,42.6
140,2,141,6,3,b-chip,15.39856,42.4
140,2,141,6,4,b-chip,12.62446,42.6
140,2,141,6,5,b-chip,13.3477,42.8
140,3,141,6,2,b-chip,1801.674,295.8
140,3,141,6,3,b-chip,2020.856,293.6
140,3,141,6,4,b-chip,1998.07,292.4
140,3,141,6,5,b-chip,1992.018,292.6
200,2,169,6,2,b-chip,22.94502,45.2
200,2,169,6,3,b-chip,21.68694,45.4
200,2,169,6,4,b-chip,20.5084,45.2
200,2,169,6,5,b-chip,20.83834,45.2
200,3,169,6,2,b-chip,4565.848,326
200,3,169,6,3,b-chip,4641.058,323.4
200,3,169,6,4,b-chip,4584.464,322.4
200,3,169,6,5,b-chip,4578.36,323
20,2,80,9,2,b-chip,3.986424,28.2
20,2,80,9,3,b-chip,5.395776,25.2
20,2,80,9,4,b-chip,5.56836,24.8
20,2,80,9,5,b-chip,5.165942,25.2
20,3,80,9,2,b-chip,40.17518,149.2
20,3,80,9,3,b-chip,70.2023,127.4
20,3,80,9,4,b-chip,75.8646,126.2
20,3,80,9,5,b-chip,77.16136,125
80,2,160,9,2,b-chip,12.02542,38.4
80,2,160,9,3,b-chip,13.29244,37.2
80,2,160,9,4,b-chip,12.59746,37.4
80,2,160,9,5,b-chip,12.97074,37.4
80,3,160,9,2,b-chip,433.7446,255.2
80,3,160,9,3,b-chip,652.505,241.8
80,3,160,9,4,b-chip,655.993,240.2
80,3,160,9,5,b-chip,648.8968,240.2
140,2,212,9,2,b-chip,20.91518,43.4
140,2,212,9,3,b-chip,24.10668,42.6
140,2,212,9,4,b-chip,22.59754,42.6
140,2,212,9,5,b-chip,20.96116,42.4
140,3,212,9,2,b-chip,1721.394,300
140,3,212,9,3,b-chip,2129.942,293.2
140,3,212,9,4,b-chip,2096.866,293
140,3,212,9,5,b-chip,2085.716,292.6
200,2,254,9,2,b-chip,32.06084,45.2
200,2,254,9,3,b-chip,34.10998,45
200,2,254,9,4,b-chip,32.64504,45.4
200,2,254,9,5,b-chip,34.4718,45.2
200,3,254,9,2,b-chip,4201.938,328.8
200,3,254,9,3,b-chip,4837.78,323.8
200,3,254,9,4,b-chip,4746.684,322.8
200,3,254,9,5,b-chip,4735.362,322.6
20,2,0,0,2,casa,2.2,23.8
80,2,0,0,2,casa,41.2,35.4
140,2,0,0,2,casa,109.8,41
200,2,0,0,2,casa,566,43.8
20,3,0,0,2,casa,362.4,125.6
80,3,0,0,2,casa,*,*
140,3,0,0,2,casa,*,*
200,3,0,0,2,casa,*,*
20,2,0,0,3,casa,2.7,23.8
80,2,0,0,3,casa,152.2,35.4
140,2,0,0,3,casa,90.6,41
200,2,0,0,3,casa,491.2,44
20,3,0,0,3,casa,592.7,124
80,3,0,0,3,casa,*,*
140,3,0,0,3,casa,*,*
200,3,0,0,3,casa,*,*
20,2,0,0,4,casa,0.3,24.2
80,2,0,0,4,casa,58.6,36
140,2,0,0,4,casa,375.8,40.8
200,2,0,0,4,casa,627.8,43.8
20,3,0,0,4,casa,303.6,119
80,3,0,0,4,casa,*,*
140,3,0,0,4,casa,*,*
200,3,0,0,4,casa,*,*
20,2,0,0,5,casa,1.4,24.2
80,2,0,0,5,casa,58.6,35.8
140,2,0,0,5,casa,34.2,41
200,2,0,0,5,casa,494.9,44
20,3,0,0,5,casa,208.1,119.3
80,3,0,0,5,casa,*,*
140,3,0,0,5,casa,*,*
200,3,0,0,5,casa,*,*
20,2,26,3,2,casa,0.2,24.4
80,2,53,3,2,casa,26.7,36.4
140,2,70,3,2,casa,127.9,41.6
200,2,84,3,2,casa,334.3,44.2
20,3,26,3,2,casa,160,129.8
80,3,53,3,2,casa,*,*
140,3,70,3,2,casa,*,*
200,3,84,3,2,casa,*,*
20,2,26,3,3,casa,3.3,24.2
80,2,53,3,3,casa,54.4,35.6
140,2,70,3,3,casa,79.8,41.2
200,2,84,3,3,casa,318.4,44
20,3,26,3,3,casa,201.1,125.4
80,3,53,3,3,casa,*,*
140,3,70,3,3,casa,*,*
200,3,84,3,3,casa,*,*
20,2,26,3,4,casa,1.6,24.2
80,2,53,3,4,casa,45.2,35.6
140,2,70,3,4,casa,262.9,41.2
200,2,84,3,4,casa,374.6,43.8
20,3,26,3,4,casa,181,126
80,3,53,3,4,casa,*,*
